Gen_Index,zone,capacity,Ramp_Rate,Ramp_Start,Ramp_Shutdown
Lake Shore D1,EAST,0.0,0.4,1.9,0.2
Conesville 6,EAST,405.0,81.0,384.75,40.5
Conesville 4,EAST,780.0,156.0,741.0,78.0
Conesville 5,EAST,405.0,81.0,384.75,40.5
Picway 5,EAST,96.1,19.22,91.29499999999999,9.61
Tait GT 2,EAST,0.0,20.400000000000002,96.89999999999999,10.200000000000001
Tait GT 3,EAST,0.0,20.400000000000002,96.89999999999999,10.200000000000001
Tait GT 1,EAST,0.0,20.0,95.0,10.0
Tait D 4,EAST,0.0,0.5,2.375,0.25
Tait D 1,EAST,0.0,0.5,2.375,0.25
Tait D 3,EAST,0.0,0.5,2.375,0.25
Tait D 2,EAST,0.0,0.5,2.375,0.25
Hutchings CT 7,EAST,0.0,5.0,23.75,2.5
Hutchings 3,EAST,0.0,12.600000000000001,59.849999999999994,6.300000000000001
Hutchings 6,EAST,0.0,12.600000000000001,59.849999999999994,6.300000000000001
Hutchings 1,EAST,0.0,11.600000000000001,55.099999999999994,5.800000000000001
Hutchings 2,EAST,0.0,11.0,52.25,5.5
Hutchings 5,EAST,0.0,12.600000000000001,59.849999999999994,6.300000000000001
Stuart 1,EAST,0.0,117.0,555.75,58.5
Stuart 4,EAST,0.0,117.0,555.75,58.5
Stuart 2,EAST,0.0,117.0,555.75,58.5
Stuart D 2,EAST,0.0,0.5,2.375,0.25
Stuart D 1,EAST,0.0,0.5,2.375,0.25
Stuart 3,EAST,0.0,117.0,555.75,58.5
Stuart D 4,EAST,0.0,0.5,2.375,0.25
Stuart D 3,EAST,0.0,0.5,2.375,0.25
Monument D 3,EAST,0.0,0.48,2.28,0.24
Monument D 5,EAST,0.0,0.48,2.28,0.24
Monument D 2,EAST,0.0,0.48,2.28,0.24
Monument D 1,EAST,0.0,0.48,2.28,0.24
Monument D 4,EAST,0.0,0.48,2.28,0.24
Sidney D 3,EAST,0.0,0.48,2.28,0.24
Sidney D 2,EAST,0.0,0.48,2.28,0.24
Sidney D 4,EAST,0.0,0.48,2.28,0.24
Sidney D 1,EAST,0.0,0.48,2.28,0.24
Sidney D 5,EAST,0.0,0.48,2.28,0.24
Yankee GT 4,EAST,0.0,3.6,17.099999999999998,1.8
Yankee GT 7,EAST,0.0,3.6,17.099999999999998,1.8
Yankee GT 5,EAST,0.0,3.6,17.099999999999998,1.8
Yankee GT 2,EAST,0.0,4.4,20.9,2.2
Yankee GT 1,EAST,0.0,4.4,20.9,2.2
Yankee GT 6,EAST,0.0,3.6,17.099999999999998,1.8
Yankee GT 3,EAST,0.0,4.4,20.9,2.2
Niles CT A,EAST,0.0,6.0,28.5,3.0
Burger B2,EAST,2.1,0.42000000000000004,1.9949999999999999,0.21000000000000002
Burger B1,EAST,3.0,0.6000000000000001,2.8499999999999996,0.30000000000000004
Burger A,EAST,2.1,0.42000000000000004,1.9949999999999999,0.21000000000000002
Sammis B2,EAST,3.0,0.6000000000000001,2.8499999999999996,0.30000000000000004
Sammis B3,EAST,2.6,0.52,2.4699999999999998,0.26
Sammis 3,EAST,180.0,36.0,171.0,18.0
Sammis 6,EAST,600.0,120.0,570.0,60.0
Sammis 2,EAST,180.0,36.0,171.0,18.0
Sammis 1,EAST,180.0,36.0,171.0,18.0
Sammis A,EAST,3.0,0.6000000000000001,2.8499999999999996,0.30000000000000004
Sammis 5,EAST,300.0,60.0,285.0,30.0
