Gen_Index,Fuel_Cost,Pmin,start_cost,Can_Spin
1219,44.07063122,0.4,3375,1
1220,25.41036255,0.4,17280,1
1221,25.41036255,0.4,16420,1
1222,25.41036255,0.4,40080,1
1223,25.41036255,0.4,16630,1
1225,25.4802471,0.4,25500,1
1226,25.4802471,0.4,15900,1
1227,25.4802471,0.4,15900,1
1228,25.4802471,0.4,15900,1
1229,25.4802471,0.4,25500,1
1230,25.4802471,0.4,15900,1
1233,25.07220793,0.4,16000,1
1234,25.07220793,0.4,37200,1
1235,25.07220793,0.4,16000,1
1236,25.07220793,0.4,16000,1
1237,25.54127526,0.4,62000,1
1238,28.66166371,0.4,12500,1
1239,28.66166371,0.4,12500,1
1240,28.66166371,0.4,12500,1
1241,28.66166371,0.4,19500,1
1246,39.13640265,0.4,950,1
1247,39.13640265,0.4,950,1
1248,39.13640265,0.4,950,1
1249,39.13640265,0.4,950,1
1250,39.13640265,0.4,950,1
1251,39.13640265,0.4,950,1
1252,39.13640265,0.4,950,1
1253,39.13640265,0.4,950,1
1254,39.13640265,0.4,950,1
