Gen_Index,Fuel_Cost	,Pmin,start_cost,Can_Spin,Min_Up,Min_Down
Sammis B1,145.3076859,0.25,65.0,1,2,1
Sammis 4,23.472780030000003,0.4,18000.0,1,6,6
Sammis B4,145.3076859,0.25,75.0,1,2,1
Sammis 7,23.472780030000003,0.4,60000.0,1,6,6
West Lorain 2,49.414422514545,0.25,2250.0,1,2,1
West Lorain A (Beaver),49.414422514545,0.25,1600.0,1,2,1
West Lorain 4,49.414422514545,0.25,2250.0,1,2,1
West Lorain B (Beaver),49.414422514545,0.25,1600.0,1,2,1
West Lorain 5,49.414422514545,0.25,2250.0,1,2,1
West Lorain 3,49.414422514545,0.25,2250.0,1,2,1
West Lorain 6,49.414422514545,0.25,2250.0,1,2,1
Muskigum Rv 1,21.70291473,0.4,20310.0,1,6,6
Muskigum Rv 2,21.70291473,0.4,20010.0,1,6,6
Muskigum Rv 4,21.70291473,0.4,21010.0,1,6,6
Muskigum Rv 5,21.70291473,0.4,60000.0,1,6,6
Muskigum Rv 3,21.70291473,0.4,21010.0,1,6,6
Kyger Creek 5,22.059126516000003,0.4,20500.0,1,6,6
Kyger Creek 1,22.059126516000003,0.4,20500.0,1,6,6
Kyger Creek 3,22.059126516000003,0.4,20500.0,1,6,6
Kyger Creek 2,22.059126516000003,0.4,20500.0,1,6,6
Kyger Creek 4,22.059126516000003,0.4,20500.0,1,6,6
Bay Shore 1,21.157831275000003,0.4,15000.0,1,6,6
Bay Shore CT,49.373310553875,0.25,450.0,1,2,1
Richland 6,49.414422514545,0.25,3375.0,1,2,1
Richland 2,49.414422514545,0.25,375.0,1,2,1
Richland 5,49.414422514545,0.25,3375.0,1,2,1
Richland 4,49.414422514545,0.25,3375.0,1,2,1
Richland 3,49.414422514545,0.25,450.0,1,2,1
Richland 1,49.414422514545,0.25,375.0,1,2,1
Stryker 1,186.47692105779,0.25,475.0,1,2,1
Brunot Island 1A,56.61077868468001,0.25,500.0,1,2,1
Brunot Island 1B,49.414422514545,0.25,500.0,1,2,1
Brunot Island 1C,49.414422514545,0.25,500.0,1,2,1
Brunot Island 2B,56.61077868468001,0.4,5800.0,1,5,4
Brunot Island 4,56.61077868468001,0.4,14700.0,1,5,4
Brunot Island 2A,56.61077868468001,0.4,5800.0,1,5,4
Brunot Island 3,56.61077868468001,0.4,5800.0,1,5,4
Elrama 4,21.70291473,0.4,17500.0,1,6,6
Elrama 1,21.70291473,0.4,9610.0,1,6,6
Elrama 3,21.70291473,0.4,11010.0,1,6,6
Elrama 2,21.70291473,0.4,9810.0,1,6,6
Hamilton 1,49.414422514545,0.25,650.0,1,2,1
Hunterstown 3,748.3453805223,0.25,675.0,1,2,1
